,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
136,Rome,Nice Rome Holiday,"7 Via Belisario, 00187 Rome",8.6,(236),£267total,Booking.com
137,Rome,Hotel Pulitzer Roma,"Viale Guglielmo Marconi, 905, 00146 Rome",8.8,(867),£260total,Hotels.com
138,Rome,La Fiaba Roma Apartment,Monte Mario,9.1,(30),£298total,Booking.com
139,Barcelona,Room Mate Gerard,"Calle Ausias March 34, Barcelona",9.0,"(2,455)",£347total,Booking.com
140,Barcelona,Ayre Hotel Gran Via,"Gran Via de Les Corts Catalanes 322-324, 08004 Barcelona",8.8,"(7,136)",£266total,Booking.com
141,Barcelona,Onix Liceo,"Nou de la Rambla, 36, 08001 Barcelona",8.1,"(1,484)",£229total,Booking.com
142,Barcelona,Kiwidestiny Apartments & Suites,Sarria-Sant Gervasi,8.3,"(1,018)",£238total,Booking.com
143,Barcelona,NH Collection Barcelona Gran Hotel Calderón,"Rambla de Catalunya, 26, 08007 Barcelona",8.5,"(2,648)",£454total,NH Collection Hotels
144,Barcelona,Well And Come Boutique Hotel,"Carrer Girona 158, 08037 Barcelona",9.0,"(1,145)",£310total,Booking.com
145,Barcelona,Barcelona Apartment Republica,Sant Marti,8.1,(901),£263total,Hotels.com
146,Barcelona,Catalonia Atenas,"Av. Meridiana, 151, 08026 Barcelona",8.1,"(7,350)",£225total,Booking.com
147,Barcelona,Ayre Hotel Caspe,"Carrer De Casp 103-109, Barcelona",8.5,"(4,930)",£266total,Booking.com
148,Barcelona,Apartment Vila Olimpica-Pamplona,Sant Marti,9.4,(11),£529total,Booking.com
149,Hong Kong,The Royal Garden,"69 Mody Road Tsimshatsui East, Hong Kong",8.4,"(4,281)",£225total,Booking.com
150,Hong Kong,The Mira Hong Kong,"Mira Place, 118-130 Nathan Road, Hong Kong",8.3,"(1,024)",£302total,Booking.com
151,Hong Kong,"Cordis, Hong Kong","555 Shanghai Street, Hong Kong",9.0,"(3,209)",£443total,Booking.com
152,Hong Kong,Apartment Kapok,Wan Chai District,7.6,(54),£385total,Hotels.com
153,Hong Kong,Sheraton Hong Kong Hotel & Towers,"20 Nathan Road, Hong Kong",8.3,"(1,152)",£320total,Booking.com
154,Hong Kong,Harbour Grand Kowloon,"20 Tak Fung Street, Hong Kong",8.3,"(1,534)",£338total,Booking.com
155,Hong Kong,Sea View Holiday House,Islands District,6.8,(419),£156total,Booking.com
156,Hong Kong,"Kowloon Shangri-La, Hong Kong","64 Mody Road, Hong Kong",8.9,"(2,057)",£439total,Booking.com
157,Hong Kong,Kew Green Hotel Wanchai Hong Kong,"41-49 Hennessy Road, Hong Kong",8.3,"(2,401)",£130total,Kew Green Hotel Wanchai Hong Kong
158,Hong Kong,The Jervois,Central and Western District,8.9,(321),£744total,Hotels.com
159,Prague,Art Deco Imperial Hotel,"Na Porici 15, 110 00 Prague, Prague Region",9.1,"(3,343)",£327total,Booking.com
160,Prague,Hilton Prague,"Pobrezni 311/1, 186 00 Prague, Prague Region",8.0,"(2,910)",£346total,Booking.com
161,Prague,Hotel Augustus et Otto,"Smíchov Na Celné 508/3, Prague, Prague Region",8.1,(792),£96total,Booking.com
162,Prague,Angel City Apartments,Prague 5,9.1,"(1,169)",£216total,Booking.com
163,Prague,Cosmopolitan Hotel Prague,"Zlatnicka 3, 11000 Prague, Prague Region",9.2,"(2,758)",£311total,Booking.com
164,Prague,Occidental Praha Wilson,"Václavské Námestí, 59, 110 00 Prague, Prague Region",8.5,(795),£229total,Booking.com
165,Prague,Prague Castle Apartments Pawlansky,Prague 1,9.3,(166),£357total,Booking.com
166,Prague,Grand Hotel Bohemia,"Kralodvorska 4, Prague, Prague Region",9.1,"(2,566)",£375total,Booking.com
167,Prague,NH Collection Carlo IV,"Senovazne Namesti 13, 110 00 Prague, Prague Region",8.8,"(1,784)",£396total,NH Collection Hotels
168,Prague,Six Continents,Prague 1,9.0,(423),£171total,Hotels.com
169,Berlin,Aparthotel Adagio Berlin Kurfürstendamm,"Lietzenburger Straße 89 a, 10719 Berlin",8.4,"(1,871)",£178total,Booking.com
